"Date","Price","Open","High","Low","Vol.","Change %"
"11/29/2021","5.21","5.22","5.22","5.20","189.87K","0.00%"
"11/26/2021","5.21","5.20","5.22","5.20","127.83K","0.75%"
"11/25/2021","5.17","5.18","5.19","5.17","44.69K","0.29%"
"11/24/2021","5.16","5.20","5.20","5.16","288.71K","-0.31%"
"11/23/2021","5.18","5.20","5.20","5.18","73.64K","-0.49%"
"11/22/2021","5.20","5.23","5.23","5.20","69.56K","-0.53%"
"11/19/2021","5.23","5.25","5.25","5.21","398.42K","0.17%"
"11/18/2021","5.22","5.22","5.24","5.21","84.64K","0.25%"
"11/17/2021","5.21","5.21","5.23","5.19","118.24K","0.00%"
"11/16/2021","5.21","5.21","5.23","5.20","547.57K","-0.37%"
"11/15/2021","5.23","5.25","5.25","5.22","105.58K","0.00%"
"11/12/2021","5.23","5.27","5.27","5.23","1.14M","-0.12%"
"11/11/2021","5.24","5.25","5.25","5.23","65.46K","-0.43%"
"11/10/2021","5.26","5.31","5.31","5.26","287.57K","-0.59%"
"11/09/2021","5.29","5.28","5.30","5.28","51.40K","0.15%"
"11/08/2021","5.28","5.27","5.28","5.27","135.05K","0.00%"
"11/05/2021","5.28","5.28","5.28","5.25","1.42M","0.55%"
"11/04/2021","5.26","5.25","5.26","5.24","60.24K","0.20%"
"11/03/2021","5.24","5.27","5.27","5.24","52.92K","-0.10%"
"11/02/2021","5.25","5.25","5.25","5.25","26.14K","0.21%"
"11/01/2021","5.24","5.25","5.25","5.23","70.11K","0.00%"
"10/29/2021","5.24","5.29","5.29","5.24","1.45M","-0.51%"
"10/28/2021","5.27","5.25","5.27","5.25","29.94K","0.24%"
"10/27/2021","5.25","5.27","5.27","5.24","54.71K","0.30%"
"10/26/2021","5.24","5.24","5.26","5.23","158.26K","0.00%"
"10/25/2021","5.24","5.24","5.24","5.23","314.04K","0.15%"
"10/22/2021","5.23","5.23","5.24","5.23","63.32K","0.00%"
"10/21/2021","5.23","5.22","5.24","5.22","186.70K","-0.27%"
"10/20/2021","5.24","5.27","5.27","5.23","112.11K","0.10%"
"10/19/2021","5.24","5.23","5.28","5.23","490.39K","0.17%"
"10/18/2021","5.23","5.24","5.26","5.22","623.25K","-0.21%"
"10/15/2021","5.24","5.25","5.25","5.24","496.63K","-0.25%"
"10/14/2021","5.25","5.25","5.27","5.23","303.01K","0.44%"
"10/13/2021","5.23","5.24","5.24","5.22","445.27K","0.38%"
"10/12/2021","5.21","5.22","5.24","5.21","187.84K","-0.15%"
"10/11/2021","5.22","5.24","5.24","5.21","53.42K","-0.24%"
"10/08/2021","5.23","5.23","5.25","5.23","311.08K","-0.28%"
"10/07/2021","5.25","5.25","5.25","5.24","207.07K","0.00%"
"10/06/2021","5.24","5.26","5.27","5.24","216.91K","-0.30%"
"10/05/2021","5.26","5.30","5.30","5.26","1.07M","-0.25%"
"10/04/2021","5.27","5.26","5.30","5.26","135.65K","0.00%"
"10/01/2021","5.27","5.30","5.30","5.25","108.56K","0.44%"
"09/30/2021","5.25","5.28","5.28","5.24","158.76K","0.00%"
"09/29/2021","5.25","5.31","5.31","5.25","474.86K","-0.36%"
"09/28/2021","5.27","5.30","5.30","5.25","479.52K","-0.36%"
"09/27/2021","5.29","5.33","5.33","5.28","730.98K","-0.19%"
"09/24/2021","5.30","5.34","5.34","5.29","478.95K","-0.23%"
"09/23/2021","5.31","5.35","5.35","5.32","76.06K","-0.43%"
"09/22/2021","5.34","5.34","5.34","5.32","295.38K","0.10%"
"09/21/2021","5.33","5.35","5.35","5.32","193.39K","0.00%"
"09/20/2021","5.33","5.32","5.33","5.32","1.47M","0.13%"
"09/17/2021","5.32","5.34","5.34","5.32","214.46K","-0.36%"
"09/16/2021","5.34","5.37","5.37","5.33","148.63K","-0.39%"
"09/15/2021","5.36","5.36","5.36","5.36","302.33K","0.00%"
"09/14/2021","5.36","5.35","5.38","5.34","616.31K","0.26%"
"09/13/2021","5.35","5.37","5.37","5.33","103.57K","0.00%"
"09/10/2021","5.35","5.36","5.36","5.35","72.14K","0.00%"
"09/09/2021","5.35","5.35","5.35","5.34","44.36K","0.40%"
"09/08/2021","5.33","5.34","5.34","5.32","181.46K","-0.13%"
"09/07/2021","5.34","5.35","5.36","5.33","95.48K","-0.48%"
"09/06/2021","5.36","5.36","5.36","5.34","194.92K","0.00%"
"09/03/2021","5.36","5.39","5.39","5.35","83.07K","0.00%"
"09/02/2021","5.36","5.36","5.36","5.35","96.44K","0.21%"
"09/01/2021","5.35","5.38","5.38","5.34","311.76K","0.11%"
