sep=;
"Date";"Open(QEURIBOR1MD=)";"High(QEURIBOR1MD=)";"Low(QEURIBOR1MD=)";"Last(QEURIBOR1MD=)"
"02.07.1993";"";"";"";"7,593"
"01.07.1993";"";"";"";"7,75"
"30.06.1993";"";"";"";"7,792"
"29.06.1993";"";"";"";"7,803"
"28.06.1993";"";"";"";"7,809"
"25.06.1993";"";"";"";"7,764"
"24.06.1993";"";"";"";"7,737"
"23.06.1993";"";"";"";"7,727"
"22.06.1993";"";"";"";"7,717"
"21.06.1993";"";"";"";"7,74"
"18.06.1993";"";"";"";"7,75"
"17.06.1993";"";"";"";"7,753"
"16.06.1993";"";"";"";"7,797"
"15.06.1993";"";"";"";"7,807"
"14.06.1993";"";"";"";"7,807"
"11.06.1993";"";"";"";"7,808"
"09.06.1993";"";"";"";"7,809"
"08.06.1993";"";"";"";"7,807"
"07.06.1993";"";"";"";"7,81"
"04.06.1993";"";"";"";"7,817"
"03.06.1993";"";"";"";"7,813"
"02.06.1993";"";"";"";"7,86"
"01.06.1993";"";"";"";"7,862"
"28.05.1993";"";"";"";"7,82"
"27.05.1993";"";"";"";"7,804"
"26.05.1993";"";"";"";"7,75"
"25.05.1993";"";"";"";"7,743"
"24.05.1993";"";"";"";"7,663"
"21.05.1993";"";"";"";"7,663"
"19.05.1993";"";"";"";"7,667"
"18.05.1993";"";"";"";"7,662"
"17.05.1993";"";"";"";"7,659"
"14.05.1993";"";"";"";"7,635"
"13.05.1993";"";"";"";"7,607"
"12.05.1993";"";"";"";"7,658"
"11.05.1993";"";"";"";"7,698"
"10.05.1993";"";"";"";"7,701"
"07.05.1993";"";"";"";"7,713"
"06.05.1993";"";"";"";"7,75"
"05.05.1993";"";"";"";"7,796"
"04.05.1993";"";"";"";"7,82"
"03.05.1993";"";"";"";"7,841"
"30.04.1993";"";"";"";"7,852"
"29.04.1993";"";"";"";"7,85"
"28.04.1993";"";"";"";"7,862"
"27.04.1993";"";"";"";"7,981"
"26.04.1993";"";"";"";"8,002"
"23.04.1993";"";"";"";"8,036"
"22.04.1993";"";"";"";"8,158"
"21.04.1993";"";"";"";"8,201"
"20.04.1993";"";"";"";"8,228"
"19.04.1993";"";"";"";"8,228"
"16.04.1993";"";"";"";"8,231"
"15.04.1993";"";"";"";"8,233"
"14.04.1993";"";"";"";"8,221"
"13.04.1993";"";"";"";"8,227"
"08.04.1993";"";"";"";"8,227"
"07.04.1993";"";"";"";"8,233"
"06.04.1993";"";"";"";"8,303"
"05.04.1993";"";"";"";"8,313"
"02.04.1993";"";"";"";"8,327"
"01.04.1993";"";"";"";"8,303"
"31.03.1993";"";"";"";"8,29"
"30.03.1993";"";"";"";"8,35"
"29.03.1993";"";"";"";"8,362"
"26.03.1993";"";"";"";"8,409"
"25.03.1993";"";"";"";"8,439"
"24.03.1993";"";"";"";"8,435"
"23.03.1993";"";"";"";"8,398"
"22.03.1993";"";"";"";"8,352"
