sep=;
"Date";"Line(Q.MERG0BC)"
"30.08.2021";"355,67"
"27.08.2021";"355,074"
"26.08.2021";"354,51"
"25.08.2021";"354,275"
"24.08.2021";"355,245"
"23.08.2021";"355,659"
"20.08.2021";"355,581"
"19.08.2021";"355,609"
"18.08.2021";"355,307"
"17.08.2021";"355,394"
"16.08.2021";"355,497"
"13.08.2021";"354,809"
"12.08.2021";"353,54"
"11.08.2021";"353,635"
"10.08.2021";"353,841"
"09.08.2021";"354,315"
"06.08.2021";"354,815"
"05.08.2021";"356,326"
"04.08.2021";"356,771"
"03.08.2021";"356,769"
"02.08.2021";"356,682"
"30.07.2021";"355,796"
"29.07.2021";"355,427"
"28.07.2021";"355,324"
"27.07.2021";"355,621"
"26.07.2021";"354,986"
"23.07.2021";"354,818"
"22.07.2021";"355,024"
"21.07.2021";"354,387"
"20.07.2021";"355,283"
"19.07.2021";"355,82"
"16.07.2021";"354,123"
"15.07.2021";"354,225"
"14.07.2021";"353,33"
"13.07.2021";"352,366"
"12.07.2021";"353,078"
"09.07.2021";"353,056"
"08.07.2021";"354,365"
"07.07.2021";"354,013"
"06.07.2021";"353,124"
"05.07.2021";"352,044"
"02.07.2021";"352,051"
"01.07.2021";"351,23"
"30.06.2021";"351,707"
"29.06.2021";"351,054"
"28.06.2021";"350,991"
"25.06.2021";"349,695"
"24.06.2021";"350,657"
"23.06.2021";"350,41"
"22.06.2021";"350,496"
"21.06.2021";"350,516"
"18.06.2021";"351,521"
"17.06.2021";"350,567"
"16.06.2021";"349,365"
"15.06.2021";"349,829"
"14.06.2021";"349,914"
"11.06.2021";"350,469"
"10.06.2021";"350,17"
"09.06.2021";"349,787"
"08.06.2021";"348,957"
"07.06.2021";"348,158"
"04.06.2021";"348,298"
"03.06.2021";"347,16"
"02.06.2021";"347,65"
"01.06.2021";"347,138"
"31.05.2021";"347,464"
"28.05.2021";"347,428"
"27.05.2021";"347,066"
"26.05.2021";"347,693"
"25.05.2021";"347,533"
"24.05.2021";"346,593"
"21.05.2021";"345,969"
"20.05.2021";"345,681"
"19.05.2021";"344,898"
"18.05.2021";"345,589"
"17.05.2021";"345,695"
"14.05.2021";"345,557"
"13.05.2021";"344,867"
"12.05.2021";"344,554"
"11.05.2021";"345,834"
"10.05.2021";"346,745"
"07.05.2021";"347,182"
"06.05.2021";"347,422"
"05.05.2021";"347,027"
"04.05.2021";"346,889"
"03.05.2021";"346,463"
"30.04.2021";"345,955"
"29.04.2021";"345,767"
"28.04.2021";"346,094"
"27.04.2021";"346,176"
"26.04.2021";"346,923"
"23.04.2021";"346,793"
"22.04.2021";"346,902"
"21.04.2021";"346,502"
"20.04.2021";"346,52"
"19.04.2021";"346,023"
"16.04.2021";"346,637"
"15.04.2021";"347,606"
"14.04.2021";"345,792"
"13.04.2021";"346,069"
"12.04.2021";"345,497"
"09.04.2021";"345,596"
"08.04.2021";"346,011"
"07.04.2021";"345,634"
"06.04.2021";"345,617"
"05.04.2021";"344,761"
"01.04.2021";"345,055"
"31.03.2021";"343,359"
"30.03.2021";"343,167"
"29.03.2021";"342,99"
"26.03.2021";"343,805"
"25.03.2021";"344,244"
"24.03.2021";"344,3"
"23.03.2021";"343,857"
"22.03.2021";"343,197"
"19.03.2021";"342,175"
"18.03.2021";"341,75"
"17.03.2021";"342,53"
"16.03.2021";"343,159"
"15.03.2021";"343,34"
"12.03.2021";"342,767"
"11.03.2021";"344,664"
"10.03.2021";"344,561"
"09.03.2021";"344,06"
"08.03.2021";"343,665"
"05.03.2021";"344,549"
"04.03.2021";"345,093"
"03.03.2021";"346,234"
"02.03.2021";"347,204"
"01.03.2021";"346,717"
"26.02.2021";"346,194"
"25.02.2021";"345,105"
"24.02.2021";"346,938"
"23.02.2021";"347,502"
"22.02.2021";"348,161"
"19.02.2021";"348,913"
"18.02.2021";"349,963"
"17.02.2021";"349,987"
"16.02.2021";"349,61"
"15.02.2021";"350,874"
"12.02.2021";"351,017"
"11.02.2021";"351,961"
"10.02.2021";"352,135"
"09.02.2021";"351,778"
"08.02.2021";"351,703"
"05.02.2021";"351,155"
"04.02.2021";"351,453"
"03.02.2021";"351,584"
"02.02.2021";"351,919"
"01.02.2021";"352,292"
"29.01.2021";"352,019"
"28.01.2021";"352,638"
"27.01.2021";"353,371"
"26.01.2021";"353,211"
"25.01.2021";"353,337"
"22.01.2021";"352,455"
"21.01.2021";"352,33"
"20.01.2021";"353,011"
"19.01.2021";"352,917"
